Created at,Author,Page,URL,Group,Type,Quote/description,Comment,Tags
2026-09-03 13:32,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"Most experiments nevertheless compare one local category with one non-local category. Local political experience and birthplace can have different electoral implications (Tavits 2010), while place identity can benefit hometown candidates even when they have little prospect of winning (Schulte-Cloos and Bauer 2023). Lifelong residents, newer residents, and outsidersresidence duration may therefore convey different degrees or kinds of proximity. Most experimental studies compare a local candidateParties also field recognizable parachute candidates with a non-local candidate; the three-level treatment tests whether voters distinguish positions within that broad divide.no prior constituency connection (Arter and Poyet 2024). The first extension therefore treats municipal connection as graded rather than binary.","Proponuję zamienić kolejnośc:

Local political experience and birthplace can have different electoral implications (Tavits 2010), and residence duration may convey different degrees or kinds of proximity between candidates and voters. Parties often strategically field recognizable parachute candidates with no prior constituency connection (Arter and Poyet 2024). Nevertheless, most experiments use a simplified contrast between local and non-local candidates. The first extension we propose, is to treat local connection as graded rather than binary.",
2026-09-03 13:33,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Electoral-system research also treats local ties as,Local ties are typically treated as...,
2026-09-03 13:39,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"Councillors representThese studies examine different candidate pools and electoral settings. The second extension holds the smallest territory, mayors hold municipality-wide executive office, and MPs provide a less municipally focused comparison. Every municipal-connection statement carriesprofile information in all three conditions;constant while changing only the hypothesis concerns its relative weight. We expect the place-based bonus to be largest for councillors, smaller for mayors, and smallest for MPs, and test this ordering with the full interaction, an omnibus Wald test, and pairwise office contrasts.under consideration.","As there are reasons to expect that different electoral contexts (type of elected office or electoral rule employed) may produce significantly different set of expectations or sensitize voters to different sets of candidate traits, we aim to test this proposition empirically. The experimental design allows holding the candidates' profile information constant while changing only the office under consideration.",
2026-09-03 13:43,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,under polarization and nationalization,even in highly nationalized and polarized political contexts (Munis...),
2026-09-03 13:49,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"At the same time, the second-order election model expects voters to punish national governing parties in lower-level contests, although municipal-election evidence shows that this pattern depends on party size and context (Gendźwiłł and Kjaer 2023).","To zdanie się pojawia trochę znienacka i mam wrażenie, że jednak nie jest na temat. Chodzi o intersection between party and locality. Dodałbym 1-2 zdania więcej o tym, że party / ideology jest zwykle pierwszorzędnym kryterium wyboru kandydatów (REF), a dopiero gdy ono jest blurred, albo wyborca ma większy wybór wewnątrz listy, to zaczynają odgrywać rolę inne, secondary characteristics.
I potem,
Suprisingly, existing studies documenting local-roots bonus rarely test how it interacts with party (or party-blocs) divisions. More precisely, if the local bonus changes with ....",
2026-09-03 13:49,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,(Gendzwill and Kroszka 2025),w submission usuwamy ten REF,
2026-09-03 13:50,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,the sampling appendix,"a nie Appendix A?
Chyba tak lepiej nazywać części appendixa",
2026-09-03 13:51,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,centered on,centered around // albo: led by,
2026-09-03 13:52,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,to an,"to one of three parallel candidate conjoint experiments, with an ... ... Each respondent competed four...",
2026-09-03 13:52,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,translates,displays / reports,
2026-09-03 13:53,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,recorded in the technical report,used in the experiment,
2026-09-03 13:54,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,shorten the third level,"we label the third level of local attachment - .. - as ""outsider"".",
2026-09-03 13:54,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,asserts local,some/certain local connection?,
2026-09-03 13:55,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"Because it bundles non-residence with declared knowledge, the estimates compare complete statements rather than residence alone.",Usunąłbym,
2026-09-03 13:56,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,local contests,"and, even more challenging in local contests",
2026-09-03 13:56,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Translated from the Polish technical report.,"usunąłbym odwołania do ""technical report"". Będzie Appendix i reference do zbioru danych.",
2026-09-03 14:03,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,zero to both profiles.,"By using a continuous outcome, we aim to map voters' preferences in a more nuanced manner, minimizing the influence of comparisons between random profiles that were barely distinguishable for respondents. Yet, the bimodal distribution of this variable (Appendix XXX) confirms that in most cases voters had strong preference for one of the alternatives.

[chyba mamy histogram zmiennej w Appendixie - jak nie, to warto dorobić]",
2026-09-03 14:03,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,turnout or,"not vote choice

[turnout nie ma tu sensu]",
2026-09-03 14:04,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,in the same order,"follows the order of three paper's contributions, presented in the previous section.",
2026-09-03 14:06,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,government,"anti-government (XX % of the sample)
analogicznie pro-government i neutral - warto tu pokazać rozkład zrekodowanej cechy",
2026-09-03 14:19,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"For the municipal-roots minus government-cue contrast, the two-sided p-value compares the absolute centered-bootstrap deviation with the absolute observed difference and uses a plus-one correction.","Myślę, że to można dać w podpisie pod wykresem (fig. 2) z tym kontrastem - tam będzie sensowniej",
2026-09-03 14:21,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,outcom,przypis (nawias) do załącznika,
2026-09-03 14:22,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,and should not be read as estimated zero effects.,usunąłbym (dość oczywiste),
2026-09-03 14:22,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,omitted,omitted (baseline),
2026-09-03 14:23,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Neutrality,"Neutrality is highly valued, with the pooled MM (59,3%)",
2026-09-03 14:23,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Other,"nowy akapit
Other candidate traits",
2026-09-03 14:24,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,in,in extant...,
2026-09-03 14:25,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,primary alignment,party alignment subset ALBO subset used to test test the interaction between political alignment and local roots,
2026-09-03 14:27,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"These tests do not prove equality, but they provide no","prościej chyba:
These tests provide no evidence that...",
2026-09-03 14:30,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,"Candidate profiles contain no party label, so these estimates concern congruence on the government–opposition cue, not a generic party effect.",To chyba przeniósłbym do discussion,
2026-09-03 14:31,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,follow the three comparisons,"comparisons outlined in the introductory section
[może ponumerować?:
(1) respondents distinguish graded cues priming local connections, (2) this gradient appears in all three tested office prompts, (3) local roots increase",
2026-09-03 14:33,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,the national political divide. The few-years-resident statement increases selection by 13.4 points relative to the outsider-with-local-knowledge statement. The lifelong-resident statement increases selection by 18.6 points relative to the outsider-with-local-knowledge statement. The alignment comparison and office split locate these complete statement contrasts within the national divide and across offices.local-roots-by-alignment interaction,"unikałbym tych zlepek local-roots-by-alignment
zamiast tego interaction between",
2026-09-03 14:35,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,separating,"experimental design allows to observe causal effects and separate the candidate profile statements from canvassing, media presence, and local mobilisation",
2026-09-03 14:36,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Municipal,"In the absence of party labels, municipal roots also have the ... over the government-opposition cue is indistingushable from 0.",
2026-09-03 14:36,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,R,This finding suggests that,
2026-09-03 14:37,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Replication,Further replications,
